id,url,freq_score,freq_reason,freq_confidence,mal_score,mal_reason,mal_confidence,sens_score,sens_reason,sens_confidence,naive_score,naive_reason,naive_confidence,overall_confidence
e4fc0d08-70fb-47f3-b9f7-244fae6b6ac0,https://www.cnn.com/2025/10/20/politics/trump-no-kings-protests-vance-cia-analysis,2,"The article consistently repeats the central claim of the president's authoritarianism using various phrasings like 'acting as a king,' 'unchecked power,' 'wannabe autocrat,' 'all-powerful,' and 'monarchical.' It also heavily relies on an appeal to consensus by repeatedly citing the 'millions of Americans' and 'mass protests' to validate its core argument.",95,0,"The article itself, while highly partisan, follows standard journalistic conventions for an opinion piece. It attributes quotes to specific individuals and news outlets (CNN, AP, NBC, Reuters) and does not appear to originate from a coordinated disinformation campaign, bot network, or an inauthentic source.",90,2,"The text is saturated with dramatic, emotional, and fear-based language. Phrases such as 'dump raw sewage,' 'gravely serious,' 'wannabe autocrat,' 'striking contempt,' 'obliteration of constitutional curbs,' and 'unhinged rhetoric' are used to create a tone of alarm and crisis rather than neutral reporting.",100,2,"The article presents a single, un-nuanced perspective where the president is an aspiring autocrat and his opponents are protectors of democracy. It dismisses counterarguments as political 'tricks' or cynical whataboutism, framing its own viewpoint as the only objective truth without seriously considering alternative interpretations.",95,95.0
dcc96fd3-d309-4e77-a521-9b8cd1d97947,https://abc7.com/post/trump-is-committed-giving-americans-2000-tariff-checks-white-house/18149579/,0,"The article reports on a specific political proposal. While the proposal is the central theme, the text does not use repetitive phrasing or appeals to consensus as a persuasive device. The structure is informational and not based on repetition.",95,0,"The article cites multiple, credible, and named sources, including the White House press secretary, the Treasury Secretary, ABC News, a policy expert at the Tax Foundation, and the Treasury Department. The sourcing is transparent and does not appear suspicious or inauthentic.",100,1,"The author's tone is generally neutral and reportorial. However, the article prominently quotes a social media post that uses highly emotional and exaggerated language ('FOOLS!', 'Richest, Most Respected Country In the World'). The inclusion of this quote lends a mildly sensationalized feel to the overall article.",90,0,The article presents a balanced view by including multiple perspectives and counterpoints. It contrasts the political proposal with a skeptical view from the Treasury Secretary and provides data-driven analysis from the Tax Foundation and the Treasury Department that questions the proposal's feasibility. It actively encourages nuance rather than presenting a single viewpoint as absolute truth.,100,96.25
7044f906-1f3e-49be-af9c-9fbbc65b0a83,https://www.theguardian.com/us-news/2025/nov/12/house-bill-government-shutdown-vote,0,"The article does not exhibit significant repetition of claims from the author's perspective. It reports on the political back-and-forth of a government shutdown, quoting various sources, but does not use repetition as a persuasive device itself. There are no appeals to a vague consensus like 'everyone is saying.'",95,0,"The article reads as a standard piece of political journalism. It attributes claims to named individuals and political groups, provides specific details like vote counts and dates, and maintains a professional tone. There are no indicators of the source being inauthentic, coordinated, or deceptive.",98,1,"The article uses some dramatic language to describe the political conflict, such as 'biggest battle' and 'howls of outrage.' While it also quotes emotionally charged statements from politicians, which is standard reporting, the author's own word choices introduce a mild level of sensationalism. The tone is not strictly neutral, though it is not highly exaggerated.",90,0,"The article presents a balanced view by including the perspectives and actions of both Republican and Democratic parties. It outlines the demands, strategies, and quotes from leaders on both sides of the aisle, acknowledging the complexity of the political standoff without presenting one viewpoint as the absolute truth.",99,95.5
2920dab3-fbc3-4f8e-b3e6-3ff6724f0915,https://apnews.com/article/redistricting-gerrymandering-congress-trump-0af8561b1670032fae3e1d2aec7905f0,0,"The article's structure discusses the same topic (redistricting) across multiple states, but this is for informational context, not to repetitiously push a single claim. It does not use appeals to popularity.",100,0,"The article is attributed to AP News (Associated Press), a well-established and highly credible news organization with a long history of journalistic standards. There are no indications of a suspicious or malicious source.",100,0,"The article maintains a neutral and factual tone. It avoids exaggerated, dramatic, or emotionally charged language, instead using standard terminology for political reporting.",95,0,"The article presents a balanced view by reporting on redistricting efforts from both Republican and Democratic parties across various states. It includes different perspectives, such as legal challenges and legislative actions, without favoring one viewpoint.",100,98.75
dc3c3657-889f-4578-baa9-117718901b0a,https://azcapitoltimes.com/news/2025/11/12/prop-50-exposes-deepening-political-and-geographical-shifts-in-california/,1,"The article's central theme of a deepening political and geographical divide is consistently reinforced through multiple expert quotes and analyses. A key quote from Mark Baldassare is used in both the introduction and conclusion, which is a journalistic technique for emphasis. While this repetition serves a narrative purpose rather than being a deceptive tactic, it does consistently hammer home a single idea.",90,0,"The article attributes its information and quotes to credible, named sources, including academics from the Public Policy Institute of California and UC Berkeley, and a representative from a nonpartisan institute. There is no indication of reliance on anonymous, unreliable, or suspicious sources.",95,1,"The language is generally analytical but uses some strong, evocative phrasing such as 'laid bare,' 'fractured political geography,' and 'deepening divide' to frame the issue. While not highly dramatic or fear-based, the tone is not strictly neutral and carries a sense of gravity and conflict.",85,0,"The article actively works against a simplistic viewpoint by presenting multiple expert perspectives. It dismisses the oversimplified 'urban-rural' framing and explores nuances in voting patterns, such as demographic shifts in historically conservative counties. It gives voice to the feeling of underrepresentation among rural and Republican voters, resulting in a balanced and multi-faceted analysis.",95,91.25
b642b598-66cb-4849-8819-63c306185f44,https://abcnews.go.com/Politics/house-vote-full-epstein-files-release-move-speaker/story?id=127593181,2,"The article exhibits heavy repetition. The photo caption ""Speaker of the House Mike Johnson speaks during a press conference on Capitol Hill on November 18, 2025 in Washington, DC."" is repeated verbatim four times in a row. Additionally, the sentence ""The bill will now head to the Senate, where its fate is uncertain"" appears at the beginning of the article and is repeated a few paragraphs later.",100,2,"The article contains multiple significant factual errors and anachronisms that indicate it is fabricated. It references events on future dates (November 18, 2025), incorrectly names Pam Bondi as the US Attorney General, and presents a political scenario involving President Trump in late 2025 which is impossible under current term limits. These factors point to a deceptive or entirely unreliable source.",100,1,"While the subject matter (Jeffrey Epstein) is inherently sensational, the article's tone is largely aligned with standard political reporting. It uses some dramatic but common journalistic phrasing like ""overwhelmingly passed"" and ""paralyzed in a stalemate,"" but it avoids using overtly emotional, exaggerated, or fear-based language.",90,0,"The article presents a balanced view by including multiple perspectives on the bill. It reports on Speaker Johnson's opposition and criticism, President Trump's change of stance, and the views of the bill's proponents. It also includes a nuanced final paragraph about the practical limitations of the bill's power, thus avoiding a one-sided or absolutist presentation.",100,97.5
0902c539-592d-4f14-8f44-a464b0eda2b1,https://www.nbcnews.com/politics/politics-news/poll-majorities-parties-extreme-rhetoric-charlie-kirk-killing-rcna243560,1,"The article's entire premise is built on an appeal to consensus, using a poll to frame the narrative. Phrases like 'More than 6 in 10 registered voters said...', 'majorities of Democrats, Republicans and independents', and 'Overall, 61% of respondents said...' are used to establish the main point, which qualifies as a consensus-based framing heuristic.",95,0,"The article is attributed to NBC News, a well-established and credible media organization. It is transparent about its polling methodology, including the sample size, dates, and margin of error, and it cites specific sources and public figures, indicating a reliable origin.",100,1,"The article uses emotionally weighted language such as 'grim milestone' and 'reckoning with growing political violence' to frame the story. While the topic of political violence is inherently serious, this phrasing elevates the emotional tone beyond a purely neutral reporting style, placing it in the mildly sensationalized category.",90,0,"The article actively presents a nuanced and balanced view. It contrasts the majority opinion from the poll with the minority viewpoint ('an incident caused by a disturbed person'). Furthermore, it includes factual reporting that counters claims made by quoted political figures, specifically noting that the investigation has not uncovered evidence linking the suspect to left-wing groups.",100,96.25
a6d5b685-7560-4e48-9a81-f51054552ea4,https://www.bbc.com/news/articles/c4gpnz05kr8o,0,"The article's claims are based on specific alerts and quotes from multiple, named sources (MI5, various government officials, a parliamentary researcher). It does not rely on repetition or vague appeals to consensus like 'many people are saying' to make its case.",95,0,"The article is from the BBC and authored by named journalists, a credible source. The content is *about* alleged malicious activity (e.g., deceptive LinkedIn profiles run by a state actor), but the source of the article itself is not suspicious or inauthentic.",100,1,"While the journalistic reporting is factual and neutral in tone, the article prominently features direct quotes from political figures that use strong, emotionally charged language such as 'despicable moves,' 'relentless,' and 'aggressive position.' This gives the piece a mildly alarming tone, although it's driven by the sources rather than the authors' own language.",90,0,"The article demonstrates balance by presenting multiple viewpoints. It details the UK government's accusations and security warnings but also includes a direct and strong denial from the Chinese embassy, which calls the claims a 'pure fabrication.' It also includes differing opinions from within the UK's Conservative party, avoiding a single, dogmatic viewpoint.",95,95.0
c28d3688-a232-4244-a640-4a85e530a602,https://calmatters.org/commentary/2025/11/dana-williamsons-indictment-political-operatives/,0,The article does not exhibit repetitive claims or appeals to a vague consensus like 'many people are saying.' It builds a linear narrative about a specific event and its context without relying on repetition for persuasion.,95,0,"The article references verifiable sources such as a '23-count indictment,' public resignations, and official statements. The tone and structure are consistent with professional journalism, showing no signs of being generated by a deceptive or inauthentic source.",95,1,"The article uses some dramatic but largely descriptive language (e.g., 'juiciest scandal,' 'dirty linen is displayed for all to see'). This phrasing adds color and interest, making it mildly sensational, but it doesn't cross into fear-mongering or being highly emotional.",90,0,"The article presents a balanced view by including the allegations from the indictment while also stating, 'But Williamson insists that she is innocent.' It explores different potential outcomes of the scandal rather than asserting a single, absolute truth.",100,95.0
dcf97a15-ebf8-4592-9de7-87601dbe8731,https://www.kff.org/racial-equity-and-health-policy/immigrants-report-rising-fear-negative-economic-and-health-impacts-and-changing-political-views-during-the-first-year-of-president-trumps-second-term/,0,"The article reports findings from a single survey. While it presents multiple data points supporting a central theme of increased fear, this is a standard reporting practice and not a manipulative repetition of claims. It cites specific statistics rather than appealing to a vague consensus.",95,0,"The article is explicitly sourced to the Kaiser Family Foundation (KFF) and The New York Times, both of which are highly credible and well-established organizations. The methodology of the survey is also detailed, indicating transparency and legitimacy.",100,1,"The article uses emotionally weighted language such as 'deepening anxiety and fear' and 'families under strain.' While these phrases describe the survey's findings about emotional states, they lend a mildly sensationalized tone to the report rather than a strictly neutral one. However, the language does not rise to the level of being highly dramatic or exaggerated.",85,0,"The article focuses on reporting the results of a specific survey, presenting data and percentages rather than a subjective, absolute truth. It also includes a nuanced finding that 'Most immigrants still say their own lives are better for coming to the U.S.,' which provides balance and works against a purely one-sided narrative.",95,93.75
